id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6103273,Chic 2bed-2bath Manhattan Dream,4562182,Florence,Manhattan,Harlem,40.81128,-73.94647,Entire home/apt,225,30,117,2019-12-25,1.83,4,342
6104187,Cute Studio close to subway for monthly rental,31673092,Ayal,Brooklyn,Crown Heights,40.67757,-73.94886,Entire home/apt,49,30,104,2020-07-30,1.66,1,1
6105240,Ideal Greenpoint Location,184833,Willow,Brooklyn,Greenpoint,40.72123,-73.95357,Entire home/apt,254,7,6,2018-05-08,0.09,1,88
6105342,One Bedroom Available (May 1-May 6),31678869,Sonya,Manhattan,Harlem,40.8251,-73.93899,Private room,200,1,0,,,1,0
6105742,Super Low Price HUGE APT stps frm Cntrl PK&Museums,4168573,Stephanie,Manhattan,Upper East Side,40.78111,-73.94795,Entire home/apt,99,1,13,2019-05-01,0.21,3,46
6106142,Studio Apartment/ 3 blocks from Central park,2077383,Tatiana,Manhattan,Upper East Side,40.77724,-73.95883,Entire home/apt,85,3,3,2016-06-14,0.05,1,0
6106445,Hell's Kitchen 1 Bedroom,7241674,Danica,Manhattan,Hell's Kitchen,40.76378,-73.98847,Entire home/apt,200,6,29,2020-03-01,0.61,1,196
6106544,Newly furnished - HUGE Studio - East 52 ST / 3 AVE,1475015,Mike,Manhattan,Midtown,40.75647,-73.96901,Entire home/apt,69,30,7,2020-04-14,0.15,51,351
6107592,Private Room in a Shared Apt by Columbia Univ,30080463,Barbi,Manhattan,Harlem,40.80226,-73.94976,Private room,104,3,78,2020-03-28,1.21,2,179
6114353,"Ideal ""Hotel Style"" Bedroom in LES",16923190,Chris,Manhattan,Lower East Side,40.71974,-73.98549,Private room,65,5,21,2019-08-29,0.35,1,0
6115275,Cozy studio near Grand Central,8164199,An,Manhattan,Midtown,40.75102,-73.97447,Entire home/apt,180,1,0,,,1,0
6115341,Beautiful Apartment close to Metro Line.,24216745,Luiz,Brooklyn,Williamsburg,40.71482,-73.93863,Entire home/apt,238,30,1,2017-12-31,0.03,1,363
6117178,Large room in beautiful Park Slope,31737002,Tim,Brooklyn,Gowanus,40.66928,-73.99019,Private room,50,5,0,,,1,0
6117496,The Manhattan Club studio New York,30787515,Brooke,Manhattan,Midtown,40.76365,-73.98057,Entire home/apt,336,2,8,2015-12-14,0.12,1,180
6121052,Chic calm in the heart of Soho,13525339,Robert,Manhattan,SoHo,40.72337,-73.99724,Entire home/apt,140,3,78,2020-07-21,1.21,1,108
6121300,Charming Bedroom in Greenwich,7655328,Jessica,Manhattan,Greenwich Village,40.72923,-73.99949,Private room,78,1,3,2016-01-31,0.05,3,0
6124097,Cozy 2 Bedroom Chelsea,3035426,Dimitri,Manhattan,Chelsea,40.74043,-74.00078,Entire home/apt,130,4,34,2020-02-17,0.53,1,359
6128992,"LOCATION, LOCATION, LOCATION -NYC!!",301346,Dawn,Manhattan,Chelsea,40.75054,-73.99683,Entire home/apt,150,14,1,2015-05-20,0.02,1,0
6129158,Large modern 1BR w/ Balcony!,31796292,Mary,Manhattan,Upper East Side,40.777,-73.95253,Entire home/apt,350,1,0,,,1,0
6130145,Moma Casanova. New Additions!,29871437,Ester,Queens,Sunnyside,40.74315,-73.91733,Private room,78,3,130,2020-03-10,2.03,1,339
6131266,BIG SUNNY ROOM IN CROWN HEIGHTS,3940516,Ali,Brooklyn,Crown Heights,40.67331,-73.95863,Private room,55,1,1,2015-05-15,0.02,1,0
6131606,Harmony House 2 on Madison Street,21014758,Garnet,Brooklyn,Bedford-Stuyvesant,40.68875,-73.92377,Private room,37,2,63,2020-03-14,1.07,4,172
6132230,"Quiet 1 Bed, Heart of SoHo",6976808,Tim,Manhattan,SoHo,40.72708,-74.00055,Entire home/apt,153,5,36,2017-09-08,0.56,1,0
6132646,queen sized room for one-Great View,15078552,Christine,Manhattan,Lower East Side,40.71869,-73.98282,Private room,75,1,0,,,1,0
6133150,Spend Your Fall in Bed-Stuy,31817441,André,Brooklyn,Bedford-Stuyvesant,40.68227,-73.93305,Private room,59,2,1,2015-11-01,0.02,1,0
