Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
1999-12-02 00:00:00+00:00,90.10590362548828,141.25,141.375,140.375,140.625,6698300
1999-12-03 00:00:00+00:00,91.7605209350586,143.84375,145.34375,143.03125,143.03125,10045400
1999-12-06 00:00:00+00:00,91.08269500732422,142.78125,143.71875,142.25,143.53125,3138900
1999-12-07 00:00:00+00:00,90.34513092041016,141.625,143.3125,141.375,143.28125,10714200
1999-12-08 00:00:00+00:00,89.76704406738281,140.71875,142.0625,140.5,141.34375,4611400
1999-12-09 00:00:00+00:00,90.20555114746094,141.40625,142.21875,139.375,141.8125,6474700
1999-12-10 00:00:00+00:00,90.50457763671875,141.875,142.8125,140.875,142.28125,5127300
1999-12-13 00:00:00+00:00,90.66407775878906,142.125,142.71875,141.28125,141.4375,4210800
1999-12-14 00:00:00+00:00,89.7869644165039,140.75,142.484375,140.625,141.625,5739000
1999-12-15 00:00:00+00:00,90.2653579711914,141.5,142.203125,140.03125,140.375,6879100
1999-12-16 00:00:00+00:00,90.66407775878906,142.125,142.65625,141.15625,142.1875,5854900
1999-12-17 00:00:00+00:00,91.24629974365234,142.6875,143.3125,142.0625,143.0,4775400
1999-12-20 00:00:00+00:00,90.58686065673828,141.65625,143.1875,141.09375,142.5625,4608700
1999-12-21 00:00:00+00:00,91.96576690673828,143.8125,144.0625,141.34375,141.59375,7981300
1999-12-22 00:00:00+00:00,92.2055892944336,144.1875,144.1875,142.96875,143.625,5377500
1999-12-23 00:00:00+00:00,93.67438507080078,146.484375,146.484375,145.0,145.015625,5721700
1999-12-27 00:00:00+00:00,93.54447174072266,146.28125,146.78125,145.0625,146.5,2691000
1999-12-28 00:00:00+00:00,93.48455047607422,146.1875,146.5,145.484375,145.875,4084500
1999-12-29 00:00:00+00:00,93.88416290283203,146.8125,146.8125,145.3125,146.3125,3001000
1999-12-30 00:00:00+00:00,93.77425384521484,146.640625,147.5625,146.1875,147.125,3641300
1999-12-31 00:00:00+00:00,93.92411804199219,146.875,147.5,146.25,146.84375,3172700
2000-01-03 00:00:00+00:00,93.00493621826172,145.4375,148.25,143.875,148.25,8164300
2000-01-04 00:00:00+00:00,89.36782836914062,139.75,144.0625,139.640625,143.53125,8089800
2000-01-05 00:00:00+00:00,89.5277099609375,140.0,141.53125,137.25,139.9375,12177900
2000-01-06 00:00:00+00:00,88.0888671875,137.75,141.5,137.75,139.625,6227200
2000-01-07 00:00:00+00:00,93.20478820800781,145.75,145.75,140.0625,140.3125,8066500
2000-01-10 00:00:00+00:00,93.52447509765625,146.25,146.90625,145.03125,146.25,5741700
2000-01-11 00:00:00+00:00,92.40535736083984,144.5,146.09375,143.5,145.8125,7503700
2000-01-12 00:00:00+00:00,91.48615264892578,143.0625,144.59375,142.875,144.59375,6907700
2000-01-13 00:00:00+00:00,92.72513580322266,145.0,145.75,143.28125,144.46875,5158300
2000-01-14 00:00:00+00:00,93.98410034179688,146.96875,147.46875,145.96875,146.53125,7437300
2000-01-18 00:00:00+00:00,93.24473571777344,145.8125,146.625,145.1875,145.34375,6488500
2000-01-19 00:00:00+00:00,94.00411224365234,147.0,147.0,145.0,145.3125,6157900
2000-01-20 00:00:00+00:00,92.56525421142578,144.75,146.96875,143.8125,146.96875,5800100
2000-01-21 00:00:00+00:00,92.36541748046875,144.4375,145.5,144.0625,145.5,6244800
2000-01-24 00:00:00+00:00,89.74751281738281,140.34375,145.84375,139.40625,145.65625,7896900
2000-01-25 00:00:00+00:00,90.76669311523438,141.9375,141.9375,139.0,140.515625,9942500
2000-01-26 00:00:00+00:00,90.04730224609375,140.8125,141.546875,140.09375,141.0,5158100
2000-01-27 00:00:00+00:00,89.68755340576172,140.25,142.21875,138.125,141.84375,10922700
2000-01-28 00:00:00+00:00,86.88986206054688,135.875,140.0625,135.53125,139.4375,11916200
2000-01-31 00:00:00+00:00,89.2479476928711,139.5625,139.671875,135.0,135.8125,10768700
2000-02-01 00:00:00+00:00,90.12723541259766,140.9375,141.6875,138.53125,139.75,8419900
2000-02-02 00:00:00+00:00,90.20718383789062,141.0625,142.25,140.375,141.28125,6205900
2000-02-03 00:00:00+00:00,91.56602478027344,143.1875,143.25,140.0,140.875,7997500
2000-02-04 00:00:00+00:00,91.18636322021484,142.59375,144.0,142.125,143.1875,4925400
2000-02-07 00:00:00+00:00,91.04649353027344,142.375,142.78125,141.4375,142.5625,5845800
2000-02-08 00:00:00+00:00,92.28553009033203,144.3125,144.5625,143.625,143.96875,4936400
2000-02-09 00:00:00+00:00,90.3470458984375,141.28125,144.46875,141.265625,144.46875,8511500
2000-02-10 00:00:00+00:00,90.52693176269531,141.5625,142.5625,140.875,141.625,6690600
2000-02-11 00:00:00+00:00,88.68840789794922,138.6875,141.9375,138.03125,141.84375,9849800
2000-02-14 00:00:00+00:00,89.20797729492188,139.5,139.78125,138.3125,139.78125,8528800
2000-02-15 00:00:00+00:00,90.21717834472656,141.078125,141.21875,137.796875,139.25,11078300
2000-02-16 00:00:00+00:00,88.88821411132812,139.0,140.9375,138.796875,140.375,8845400
2000-02-17 00:00:00+00:00,88.42857360839844,138.28125,140.4375,138.21875,140.4375,7584200
2000-02-18 00:00:00+00:00,86.53014373779297,135.3125,138.875,134.625,138.875,9409200
2000-02-22 00:00:00+00:00,86.31031036376953,134.96875,136.34375,133.53125,135.1875,16415400
2000-02-23 00:00:00+00:00,87.32948303222656,136.5625,137.46875,134.5,135.625,12119000
2000-02-24 00:00:00+00:00,85.57091522216797,133.8125,137.03125,133.09375,136.6875,17375000
2000-02-25 00:00:00+00:00,85.26117706298828,133.328125,136.71875,133.125,135.1875,10559900
2000-02-28 00:00:00+00:00,87.04971313476562,136.125,136.6875,132.71875,133.375,13397800
2000-02-29 00:00:00+00:00,87.8890151977539,137.4375,137.4375,135.75,136.0625,8242500
2000-03-01 00:00:00+00:00,88.52848815917969,138.4375,139.0,137.21875,137.625,6868000
2000-03-02 00:00:00+00:00,88.58846282958984,138.53125,139.125,137.34375,138.6875,7600200
2000-03-03 00:00:00+00:00,90.24716186523438,141.125,141.71875,139.71875,140.4375,12770300
2000-03-06 00:00:00+00:00,89.36782836914062,139.75,141.34375,138.75,140.8125,11967100
2000-03-07 00:00:00+00:00,87.63925170898438,137.046875,140.15625,135.21875,140.0,20062000
2000-03-08 00:00:00+00:00,87.52930450439453,136.875,137.84375,135.03125,136.46875,11808500
2000-03-09 00:00:00+00:00,90.08727264404297,140.875,140.875,136.125,137.25,5500900
2000-03-10 00:00:00+00:00,89.6076431274414,140.125,142.0,139.53125,140.1875,7924600
2000-03-13 00:00:00+00:00,88.62841796875,138.59375,140.46875,135.6875,136.6875,10540500
2000-03-14 00:00:00+00:00,87.36944580078125,136.625,140.09375,136.15625,139.28125,8263900
2000-03-15 00:00:00+00:00,89.40779113769531,139.8125,140.4375,136.0625,136.875,10300800
2000-03-16 00:00:00+00:00,93.5844497680664,146.34375,146.84375,140.875,141.625,25601400
2000-03-17 00:00:00+00:00,94.20294952392578,146.9375,148.0,145.4375,145.8125,10272900
2000-03-20 00:00:00+00:00,93.72215270996094,146.1875,147.34375,144.78125,146.875,12502300
2000-03-21 00:00:00+00:00,95.64544677734375,149.1875,149.75,144.5,145.53125,13612600
2000-03-22 00:00:00+00:00,96.22647094726562,150.09375,150.84375,148.6875,149.5625,8260000
2000-03-23 00:00:00+00:00,97.86931610107422,152.65625,153.46875,149.15625,149.15625,11654500
2000-03-24 00:00:00+00:00,98.45032501220703,153.5625,155.75,151.71875,152.875,11462900
2000-03-27 00:00:00+00:00,97.4084701538086,151.9375,153.78125,151.8125,153.375,8798600
2000-03-28 00:00:00+00:00,96.8475341796875,151.0625,152.984375,150.59375,151.25,6334400
2000-03-29 00:00:00+00:00,96.94770050048828,151.21875,152.484375,149.65625,151.5625,6747500
2000-03-30 00:00:00+00:00,95.32485961914062,148.6875,151.921875,147.125,150.15625,9491900
2000-03-31 00:00:00+00:00,96.40669250488281,150.375,152.3125,148.4375,149.625,9249100
2000-04-03 00:00:00+00:00,96.96766662597656,151.25,151.25,148.6875,150.125,8508200
2000-04-04 00:00:00+00:00,96.24644470214844,150.125,153.0,141.390625,151.75,19585500
2000-04-05 00:00:00+00:00,95.64544677734375,149.1875,150.8125,147.625,147.875,8387200
2000-04-06 00:00:00+00:00,96.47686767578125,150.484375,151.6875,149.0,150.25,6378500
2000-04-07 00:00:00+00:00,97.08796691894531,151.4375,152.125,150.5,151.5625,6023600
2000-04-10 00:00:00+00:00,96.707275390625,150.84375,153.109375,150.3125,151.75,9624200
2000-04-11 00:00:00+00:00,96.42678833007812,150.40625,151.625,148.375,150.0,9006400
2000-04-12 00:00:00+00:00,93.7822265625,146.28125,151.15625,146.15625,150.375,10779200
2000-04-13 00:00:00+00:00,92.47994995117188,144.25,148.15625,143.78125,147.46875,12225800
2000-04-14 00:00:00+00:00,87.19082641601562,136.0,142.8125,133.5,142.625,29604000
2000-04-17 00:00:00+00:00,90.23609924316406,140.75,140.75,134.6875,135.1875,23918200
2000-04-18 00:00:00+00:00,92.62019348144531,144.46875,144.46875,139.78125,140.5625,11069200
2000-04-19 00:00:00+00:00,91.75868225097656,143.125,145.125,142.53125,144.5,6553700
2000-04-20 00:00:00+00:00,92.19950103759766,143.8125,143.9375,142.375,143.5625,8537600
2000-04-24 00:00:00+00:00,91.19775390625,142.25,143.3125,140.5,141.5,12893100
2000-04-25 00:00:00+00:00,94.98426818847656,148.15625,148.15625,144.4375,144.625,14102000
2000-04-26 00:00:00+00:00,93.91246032714844,146.484375,148.75,146.0,147.96875,7711100
2000-04-27 00:00:00+00:00,93.60186767578125,146.0,147.34375,143.0,143.0,15595300
2000-04-28 00:00:00+00:00,93.02092742919922,145.09375,147.859375,145.0625,147.0,8743400
2000-05-01 00:00:00+00:00,94.28311920166016,147.0625,148.484375,145.84375,146.5625,7328300
2000-05-02 00:00:00+00:00,92.39984893798828,144.125,147.125,144.125,145.5,9411900
